age	workclass	fnlwgt	education	education.num	marital.status	occupation	relationship	race	sex	capital.gain	capital.loss	hours.per.week	native.country	income
35	Private	331831	Bachelors	13	Married-civ-spouse	Sales	Husband	White	Male	0	0	40	United-States	<=50K
35	Private	153790	Some-college	10	Never-married	Sales	Not-in-family	Amer-Indian-Eskimo	Female	0	0	40	United-States	<=50K
27	?	29361	Assoc-acdm	12	Never-married	?	Not-in-family	White	Female	0	0	45	United-States	<=50K
21	Private	204596	Assoc-acdm	12	Never-married	Adm-clerical	Own-child	White	Female	0	0	8	United-States	<=50K
38	Self-emp-not-inc	112158	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	99	United-States	<=50K
19	State-gov	282721	Some-college	10	Never-married	Other-service	Not-in-family	Black	Male	0	0	12	United-States	<=50K
38	Private	192939	HS-grad	9	Divorced	Craft-repair	Unmarried	White	Male	0	0	40	United-States	<=50K
26	Private	177929	Bachelors	13	Never-married	Sales	Not-in-family	White	Male	0	0	48	United-States	<=50K
52	Private	117295	1st-4th	2	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	50	United-States	>50K
59	Private	100313	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	1887	40	United-States	>50K
29	Private	81057	Some-college	10	Never-married	Adm-clerical	Own-child	White	Female	0	0	40	United-States	<=50K
44	Self-emp-not-inc	219591	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K
42	Private	20809	HS-grad	9	Divorced	Craft-repair	Not-in-family	White	Male	0	0	75	United-States	>50K
17	Private	244523	10th	6	Never-married	Other-service	Own-child	White	Male	0	0	20	United-States	<=50K
43	Private	64631	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K
44	Private	194049	Some-college	10	Divorced	Other-service	Unmarried	Black	Female	0	0	35	United-States	<=50K
43	Federal-gov	77370	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	40	United-States	<=50K
43	Private	159549	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K
44	Self-emp-not-inc	163985	Prof-school	15	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	32	United-States	>50K
46	Private	116666	HS-grad	9	Divorced	Exec-managerial	Not-in-family	White	Female	0	0	40	United-States	<=50K
52	Private	208302	HS-grad	9	Married-civ-spouse	Sales	Husband	White	Male	0	0	36	United-States	<=50K
55	Private	169611	11th	7	Widowed	Adm-clerical	Unmarried	White	Female	0	0	40	United-States	<=50K
21	?	494638	Assoc-acdm	12	Never-married	?	Own-child	White	Male	0	0	15	United-States	<=50K
43	Self-emp-not-inc	144218	12th	8	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	60	United-States	<=50K
37	Private	284582	Masters	14	Married-civ-spouse	Exec-managerial	Wife	White	Female	0	0	40	United-States	<=50K
28	Private	109282	Some-college	10	Divorced	Prof-specialty	Not-in-family	White	Male	0	0	40	United-States	<=50K
45	Private	260490	Masters	14	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	50	United-States	>50K
42	?	321086	Masters	14	Married-civ-spouse	?	Husband	White	Male	0	0	50	United-States	<=50K
26	Private	120238	Bachelors	13	Never-married	Craft-repair	Not-in-family	White	Male	3325	0	40	United-States	<=50K
71	Private	187493	HS-grad	9	Married-civ-spouse	Protective-serv	Husband	White	Male	0	0	40	United-States	>50K
59	Federal-gov	100931	HS-grad	9	Married-civ-spouse	Adm-clerical	Husband	White	Male	0	0	40	United-States	>50K
31	Private	46807	Bachelors	13	Never-married	Tech-support	Not-in-family	White	Male	0	0	40	United-States	<=50K
41	Private	111483	HS-grad	9	Never-married	Adm-clerical	Own-child	White	Male	0	0	40	United-States	<=50K
33	Self-emp-not-inc	37939	Bachelors	13	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	35	United-States	<=50K
41	Federal-gov	192589	Bachelors	13	Married-civ-spouse	Adm-clerical	Husband	White	Male	0	0	40	United-States	<=50K
40	Private	193995	HS-grad	9	Married-civ-spouse	Other-service	Husband	White	Male	0	0	30	United-States	<=50K
40	Private	155190	10th	6	Never-married	Craft-repair	Other-relative	Black	Male	0	0	55	United-States	<=50K
48	State-gov	224474	Some-college	10	Divorced	Exec-managerial	Not-in-family	White	Female	0	0	40	United-States	<=50K
42	Self-emp-not-inc	238188	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	96	United-States	<=50K
45	State-gov	271962	Bachelors	13	Divorced	Protective-serv	Not-in-family	White	Female	0	0	40	United-States	<=50K
26	Private	63577	Some-college	10	Never-married	Other-service	Not-in-family	White	Female	0	0	30	United-States	<=50K
62	Private	197514	HS-grad	9	Married-civ-spouse	Sales	Wife	White	Female	0	0	16	United-States	<=50K
36	Private	231948	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	64	United-States	>50K
17	Private	78602	11th	7	Never-married	Other-service	Other-relative	White	Female	0	0	20	United-States	<=50K
27	Private	118230	Bachelors	13	Never-married	Exec-managerial	Own-child	White	Female	0	0	40	United-States	<=50K
35	Private	148903	HS-grad	9	Married-civ-spouse	Other-service	Wife	White	Female	0	0	16	United-States	>50K
56	Local-gov	160829	HS-grad	9	Divorced	Adm-clerical	Not-in-family	White	Female	0	0	46	United-States	<=50K
23	Self-emp-not-inc	258298	Bachelors	13	Never-married	Adm-clerical	Own-child	White	Male	0	2231	40	United-States	>50K
42	State-gov	219553	Masters	14	Divorced	Prof-specialty	Not-in-family	White	Female	0	0	38	United-States	<=50K
57	Private	74156	HS-grad	9	Married-civ-spouse	Other-service	Husband	White	Male	0	0	30	United-States	<=50K
36	Private	234271	Some-college	10	Never-married	Craft-repair	Not-in-family	White	Female	0	0	40	United-States	<=50K
17	Private	183066	10th	6	Never-married	Other-service	Own-child	White	Female	0	0	40	United-States	<=50K
32	Private	43403	Some-college	10	Divorced	Farming-fishing	Not-in-family	White	Female	0	1590	54	United-States	<=50K
41	Private	174540	Some-college	10	Married-civ-spouse	Prof-specialty	Husband	Black	Male	0	0	4	United-States	<=50K
53	Self-emp-inc	128272	Doctorate	16	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	70	United-States	>50K
38	Private	233717	Some-college	10	Divorced	Exec-managerial	Unmarried	Black	Male	0	0	60	United-States	<=50K
20	Private	216825	HS-grad	9	Never-married	Sales	Own-child	White	Female	0	0	25	Mexico	<=50K
17	Private	57324	10th	6	Never-married	Other-service	Own-child	White	Male	0	0	30	United-States	<=50K
28	Private	119793	HS-grad	9	Never-married	Sales	Own-child	White	Male	0	0	60	United-States	<=50K
39	Private	86643	Some-college	10	Never-married	Craft-repair	Not-in-family	White	Male	0	0	50	United-States	<=50K
43	Private	212847	Some-college	10	Divorced	Machine-op-inspct	Not-in-family	White	Male	0	0	40	United-States	<=50K
35	Private	214816	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	40	United-States	>50K
50	Self-emp-not-inc	172281	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	7688	0	50	United-States	>50K
40	Private	96055	HS-grad	9	Separated	Adm-clerical	Unmarried	White	Female	0	0	45	United-States	<=50K
53	?	64322	7th-8th	4	Separated	?	Not-in-family	White	Male	0	0	40	United-States	<=50K
42	Private	109912	Some-college	10	Never-married	Tech-support	Not-in-family	White	Female	0	0	40	United-States	>50K
46	Federal-gov	325573	HS-grad	9	Never-married	Handlers-cleaners	Not-in-family	White	Male	0	0	40	United-States	<=50K
21	Federal-gov	99199	HS-grad	9	Never-married	Adm-clerical	Own-child	White	Male	0	0	36	United-States	<=50K
39	Private	196673	HS-grad	9	Married-civ-spouse	Other-service	Wife	White	Female	5013	0	40	United-States	<=50K
30	Private	46712	HS-grad	9	Divorced	Other-service	Not-in-family	White	Female	0	0	40	United-States	<=50K
36	State-gov	119272	HS-grad	9	Married-civ-spouse	Protective-serv	Husband	White	Male	7298	0	40	United-States	>50K
43	Private	247162	Assoc-acdm	12	Never-married	Sales	Own-child	White	Male	0	0	40	United-States	<=50K
35	Private	334291	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	50	United-States	<=50K
42	Local-gov	1125613	HS-grad	9	Divorced	Other-service	Not-in-family	Black	Male	0	0	40	United-States	<=50K
68	Private	104438	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	Ireland	>50K
52	Private	204447	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	4386	0	40	United-States	>50K
42	Private	59474	HS-grad	9	Divorced	Machine-op-inspct	Not-in-family	White	Male	0	0	40	United-States	<=50K
31	Private	323055	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	50	United-States	>50K
59	Private	196482	HS-grad	9	Widowed	Adm-clerical	Unmarried	White	Female	0	0	40	United-States	<=50K
24	Private	653574	HS-grad	9	Never-married	Craft-repair	Own-child	White	Male	0	0	40	El-Salvador	<=50K
23	Private	434467	HS-grad	9	Never-married	Sales	Not-in-family	White	Male	0	0	48	United-States	<=50K
36	Private	135162	HS-grad	9	Never-married	Sales	Own-child	White	Male	0	0	45	?	<=50K
21	Private	231160	Some-college	10	Never-married	Other-service	Own-child	White	Male	0	0	25	United-States	<=50K
17	Private	151799	11th	7	Never-married	Other-service	Own-child	White	Female	0	0	20	United-States	<=50K
34	Private	197886	Bachelors	13	Married-civ-spouse	Sales	Husband	White	Male	0	0	60	United-States	>50K
33	Private	173248	HS-grad	9	Married-civ-spouse	Other-service	Husband	Black	Male	0	0	35	United-States	<=50K
20	Private	165804	Some-college	10	Never-married	Adm-clerical	Own-child	Other	Female	0	0	40	United-States	<=50K
18	Private	157131	11th	7	Never-married	Sales	Own-child	White	Female	0	0	30	United-States	<=50K
37	Private	105044	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	42	United-States	>50K
22	?	217421	Some-college	10	Never-married	?	Own-child	White	Female	0	0	30	United-States	<=50K
18	Private	186909	Some-college	10	Never-married	Other-service	Own-child	White	Female	0	0	16	United-States	<=50K
46	Private	187715	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	0	0	50	United-States	<=50K
38	Private	196123	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	50	United-States	<=50K
57	Private	140426	Doctorate	16	Married-civ-spouse	Tech-support	Husband	White	Male	0	1977	40	Germany	>50K
27	Private	42696	HS-grad	9	Married-spouse-absent	Other-service	Unmarried	White	Female	0	0	40	United-States	<=50K
25	Private	323545	HS-grad	9	Never-married	Tech-support	Not-in-family	Black	Female	0	0	40	United-States	<=50K
20	Private	84726	Some-college	10	Never-married	Tech-support	Not-in-family	White	Female	0	0	40	United-States	<=50K
38	Self-emp-inc	187411	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	40	United-States	>50K
53	Private	178356	Assoc-acdm	12	Married-civ-spouse	Exec-managerial	Husband	White	Male	2407	0	99	United-States	<=50K
32	Private	207201	Bachelors	13	Never-married	Prof-specialty	Not-in-family	White	Male	0	0	45	United-States	>50K
33	Federal-gov	615893	Masters	14	Married-civ-spouse	Transport-moving	Husband	Black	Male	0	0	40	Nicaragua	<=50K
19	?	172582	Some-college	10	Never-married	?	Own-child	White	Male	0	0	50	United-States	<=50K
36	Private	134367	HS-grad	9	Divorced	Other-service	Own-child	White	Female	0	0	30	United-States	<=50K
26	Local-gov	80485	Bachelors	13	Never-married	Prof-specialty	Not-in-family	White	Female	0	0	38	United-States	<=50K
33	Private	96128	11th	7	Never-married	Craft-repair	Own-child	White	Male	0	0	40	United-States	<=50K
46	Private	191204	Assoc-voc	11	Never-married	Exec-managerial	Own-child	White	Female	0	0	40	United-States	<=50K
24	State-gov	231473	Assoc-acdm	12	Married-civ-spouse	Adm-clerical	Husband	White	Male	0	0	30	United-States	<=50K
45	Private	255348	Some-college	10	Divorced	Exec-managerial	Not-in-family	White	Female	0	0	40	United-States	<=50K
30	Private	133602	Bachelors	13	Divorced	Exec-managerial	Not-in-family	White	Male	0	0	40	United-States	<=50K
26	Self-emp-not-inc	109609	Some-college	10	Separated	Craft-repair	Not-in-family	White	Male	0	0	30	United-States	<=50K
24	Private	229773	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	35	United-States	<=50K
37	Private	269329	Assoc-voc	11	Divorced	Prof-specialty	Not-in-family	White	Female	8614	0	45	United-States	>50K
49	State-gov	391585	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	15024	0	40	United-States	>50K
33	Self-emp-not-inc	199539	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	65	United-States	<=50K
50	Self-emp-inc	204447	Some-college	10	Divorced	Protective-serv	Not-in-family	White	Male	0	0	40	United-States	<=50K
54	Private	210736	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	>50K
19	Private	111232	12th	8	Never-married	Transport-moving	Own-child	White	Male	0	0	15	United-States	<=50K
41	Private	120277	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	>50K
17	Private	194612	11th	7	Never-married	Other-service	Own-child	White	Male	0	0	25	United-States	<=50K
55	Federal-gov	113398	Some-college	10	Never-married	Adm-clerical	Unmarried	White	Male	0	0	40	United-States	<=50K
18	Private	118376	Some-college	10	Never-married	Other-service	Own-child	White	Female	0	0	16	?	<=50K
35	Private	341643	Bachelors	13	Never-married	Sales	Not-in-family	White	Male	0	0	55	United-States	<=50K
30	Private	97757	Assoc-voc	11	Married-civ-spouse	Prof-specialty	Wife	White	Female	0	0	36	United-States	>50K
28	Private	209641	HS-grad	9	Never-married	Other-service	Not-in-family	White	Male	0	0	32	United-States	<=50K
41	State-gov	293485	Some-college	10	Married-civ-spouse	Adm-clerical	Wife	White	Female	3103	0	40	United-States	>50K
54	Self-emp-not-inc	118365	10th	6	Divorced	Other-service	Not-in-family	Black	Female	0	0	10	United-States	<=50K
26	Local-gov	273399	Some-college	10	Never-married	Protective-serv	Not-in-family	White	Male	0	0	40	Peru	<=50K
33	?	102130	Some-college	10	Never-married	?	Own-child	White	Male	0	0	40	United-States	<=50K
46	Private	153254	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	Black	Male	0	0	40	United-States	<=50K
32	Private	147284	Assoc-voc	11	Married-civ-spouse	Sales	Husband	White	Male	0	0	50	United-States	>50K
41	Self-emp-not-inc	287037	HS-grad	9	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	<=50K
52	Private	68982	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	50	United-States	>50K
54	Private	53833	5th-6th	3	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	40	United-States	>50K
60	Self-emp-not-inc	236470	7th-8th	4	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	40	United-States	<=50K
21	Private	162667	Bachelors	13	Never-married	Adm-clerical	Not-in-family	White	Male	0	0	40	Columbia	<=50K
19	Private	268392	HS-grad	9	Never-married	Sales	Unmarried	Black	Female	0	0	30	United-States	<=50K
40	Private	222011	Masters	14	Never-married	Prof-specialty	Not-in-family	White	Female	3325	0	40	United-States	<=50K
44	Local-gov	193755	Assoc-acdm	12	Never-married	Protective-serv	Not-in-family	White	Male	0	0	40	United-States	<=50K
32	Self-emp-not-inc	171091	HS-grad	9	Married-civ-spouse	Sales	Husband	White	Male	0	0	40	United-States	<=50K
45	State-gov	199326	Masters	14	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	45	United-States	>50K
21	Private	236684	Some-college	10	Never-married	Other-service	Other-relative	Black	Female	0	0	8	United-States	<=50K
49	Private	168211	HS-grad	9	Married-civ-spouse	Protective-serv	Husband	White	Male	0	0	40	United-States	>50K
70	?	148065	Some-college	10	Married-civ-spouse	?	Husband	White	Male	0	0	4	United-States	>50K
18	Private	436163	11th	7	Never-married	Prof-specialty	Own-child	White	Male	0	0	20	United-States	<=50K
39	Private	34028	Bachelors	13	Divorced	Exec-managerial	Unmarried	White	Female	0	0	48	United-States	<=50K
38	?	212048	Prof-school	15	Divorced	?	Not-in-family	White	Female	0	0	30	United-States	<=50K
41	?	202822	HS-grad	9	Separated	?	Not-in-family	Black	Female	0	0	32	United-States	<=50K
45	Private	155093	10th	6	Divorced	Other-service	Not-in-family	Black	Female	0	0	38	Dominican-Republic	<=50K
47	Local-gov	140644	Some-college	10	Married-civ-spouse	Protective-serv	Husband	White	Male	0	0	40	United-States	>50K
20	?	273701	Some-college	10	Never-married	?	Other-relative	Black	Male	34095	0	10	United-States	<=50K
52	Private	343440	Some-college	10	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	<=50K
28	Private	77760	HS-grad	9	Never-married	Other-service	Unmarried	White	Male	0	0	40	United-States	<=50K
22	Private	91842	Some-college	10	Never-married	Sales	Not-in-family	White	Female	0	0	42	United-States	<=50K
44	Private	336513	Some-college	10	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	45	United-States	<=50K
59	Private	243226	10th	6	Divorced	Machine-op-inspct	Not-in-family	White	Female	0	0	40	United-States	<=50K
25	?	100903	Bachelors	13	Married-civ-spouse	?	Wife	White	Female	0	0	25	United-States	<=50K
56	Self-emp-not-inc	144380	Some-college	10	Married-spouse-absent	Prof-specialty	Not-in-family	Black	Male	0	0	50	United-States	<=50K
42	Private	24982	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	7688	0	40	United-States	>50K
50	Private	138022	Some-college	10	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	<=50K
49	Self-emp-not-inc	102110	HS-grad	9	Married-civ-spouse	Tech-support	Husband	White	Male	0	0	30	United-States	>50K
62	Private	174711	HS-grad	9	Never-married	Adm-clerical	Not-in-family	White	Female	0	0	32	United-States	<=50K
35	Private	188069	Masters	14	Never-married	Prof-specialty	Not-in-family	White	Male	13550	0	55	?	>50K
18	Private	192409	12th	8	Never-married	Other-service	Own-child	White	Female	0	0	25	United-States	<=50K
44	Private	260046	HS-grad	9	Divorced	Transport-moving	Not-in-family	White	Male	0	0	40	United-States	<=50K
54	State-gov	119565	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	40	Puerto-Rico	>50K
22	State-gov	255575	Assoc-acdm	12	Never-married	Prof-specialty	Not-in-family	White	Female	0	0	15	United-States	<=50K
59	Private	99131	HS-grad	9	Married-civ-spouse	Adm-clerical	Wife	White	Female	0	0	40	United-States	<=50K
27	Private	190525	Assoc-voc	11	Never-married	Machine-op-inspct	Unmarried	White	Male	0	0	45	United-States	<=50K
20	?	162667	HS-grad	9	Never-married	?	Other-relative	White	Male	0	0	40	El-Salvador	<=50K
53	Private	194501	11th	7	Widowed	Other-service	Own-child	White	Female	0	0	47	United-States	<=50K
60	Local-gov	113658	Some-college	10	Married-civ-spouse	Adm-clerical	Wife	White	Female	0	0	35	United-States	<=50K
22	Private	406978	Bachelors	13	Never-married	Exec-managerial	Other-relative	White	Female	0	0	40	United-States	<=50K
56	Private	102106	HS-grad	9	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	0	0	40	United-States	<=50K
31	Private	111883	HS-grad	9	Never-married	Craft-repair	Other-relative	White	Male	0	0	40	United-States	<=50K
38	Private	193372	Some-college	10	Never-married	Exec-managerial	Own-child	White	Female	0	0	40	United-States	<=50K
34	Self-emp-inc	62396	Bachelors	13	Never-married	Prof-specialty	Not-in-family	White	Female	0	0	62	United-States	>50K
27	Private	357348	HS-grad	9	Separated	Other-service	Unmarried	White	Female	0	0	50	United-States	<=50K
51	Private	204447	Some-college	10	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	45	United-States	>50K
22	Private	200109	HS-grad	9	Married-civ-spouse	Priv-house-serv	Wife	White	Female	4508	0	40	United-States	<=50K
19	?	26620	Some-college	10	Never-married	?	Own-child	White	Female	0	0	40	United-States	<=50K
58	Private	317479	HS-grad	9	Divorced	Machine-op-inspct	Not-in-family	Black	Female	0	0	40	United-States	<=50K
48	Private	287480	Masters	14	Married-civ-spouse	Tech-support	Husband	White	Male	0	0	40	United-States	>50K
30	Private	132565	Some-college	10	Never-married	Craft-repair	Unmarried	White	Male	0	0	40	United-States	<=50K
19	Private	238474	Some-college	10	Never-married	Sales	Own-child	White	Male	0	0	25	United-States	<=50K
28	State-gov	130620	11th	7	Separated	Adm-clerical	Unmarried	Asian-Pac-Islander	Female	0	0	40	India	<=50K
51	Private	122288	Some-college	10	Widowed	Machine-op-inspct	Unmarried	White	Female	0	0	36	United-States	<=50K
61	Private	133164	7th-8th	4	Never-married	Other-service	Not-in-family	White	Male	0	0	48	United-States	<=50K
27	Private	238859	Assoc-voc	11	Never-married	Craft-repair	Not-in-family	White	Male	0	0	40	United-States	<=50K
41	Self-emp-not-inc	142725	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	45	United-States	<=50K
19	Private	99246	11th	7	Never-married	Machine-op-inspct	Not-in-family	White	Female	0	0	25	United-States	<=50K
37	Private	117381	Masters	14	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	45	United-States	<=50K
50	Private	270194	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	60	United-States	<=50K
24	Private	237928	Bachelors	13	Never-married	Prof-specialty	Not-in-family	White	Male	0	0	39	United-States	<=50K
30	Private	95299	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	Asian-Pac-Islander	Male	0	0	40	Vietnam	>50K
21	Private	162228	Some-college	10	Never-married	Adm-clerical	Own-child	White	Male	0	0	40	United-States	<=50K
57	Self-emp-inc	172654	Prof-school	15	Married-civ-spouse	Transport-moving	Husband	White	Male	15024	0	50	United-States	>50K
26	Private	165673	HS-grad	9	Married-civ-spouse	Sales	Husband	White	Male	0	0	40	United-States	<=50K
26	Private	189238	9th	5	Never-married	Other-service	Own-child	White	Female	0	0	38	El-Salvador	<=50K
